,index,Avg_sent,Descriptors,Freq
367,worth,0.8376623376623377,"its ,it ,isit ,time ,time ,it ,it ,it ,it ,it ,commandsch ,it ,it ,commandsch ,it ,it ,everythingyoure ,it ,upz ,it ,everythingyoure ,it ,upz ,it ,it ,its",16
368,train,0.8670886075949367,"army ,what ,squats ,train ,train ,train ,squats ,train ,train ,train ,squats ,train ,train ,train ,squats ,train ,train ,train ,bodyfitness ,it ,yourself ,you",16
369,nsman,0.8852459016393442,"went ,follows ,saying ,collapsed ,fails ,book ,decide ,decide",16
370,points,0.8571428571428571,"pass ,pass ,reach ,attain ,gain ,reach ,attain ,gain ,reach ,attain ,gain ,got ,get ,missing ,get ,failed",16
371,tough,0.8785046728971962,"weekend ,ptp ,excercises ,ocs ,push ,excercises ,ocs ,push ,excercises ,ocs ,push ,that ,that ,trainingwise",16
372,easy,0.84,"guys ,asa ,asa ,asa ,life",16
373,curious,0.8484848484848485,"yo ,yo ,i ,session ,punishment ,i",16
376,locations,0.875,"means ,avail ,means ,avail ,have",16
377,blue,0.9411764705882353,"bestoption ,bestoption ,bestoption",16
378,plan,0.8461538461538461,"you ,have ,have ,scare ,wat ,next ,scare ,wat ,next ,opening ,time ,you ,missions ,u ,leave",16
379,record,0.8378378378378378,"have ,fail ,attendance ,use ,be ,use ,be ,use ,be ,got ,check ,good ,check",15
380,repeat,0.8804347826086957,"i ,it ,npncompliance ,strategy ,ippt ,cycle ,cycle ,sessions ,who ,attempts ,ippt ,something",15
381,list,0.8656716417910447,"fcc ,generate ,include ,generate ,include ,name ,name ,me ,they ,it",15
382,share,0.863013698630137,"i ,opinion ,info ,story ,results ,ones ,fit ,info ,you ,bunk ,information",15
383,eligible,0.8878504672897196,"they ,they ,who ,i ,ineligble ,you ,servicemen ,servicemen ,operators ,servicemen ,servicemen ,operators ,u",15
384,choice,0.8676470588235294,"have ,has ,got ,having ,fail ,it ,allow ,this ,theres ,disinterested",15
385,friday,0.8888888888888888,"slot ,day ,obvious",15
386,weekends,0.9285714285714286,"note ,consider",15
387,correct,0.9230769230769231,"misunderstanding ,understanding ,me ,is",15
388,name,0.8297872340425532,"is ,roll ,roll ,list ,list ,so ,roll ,gym ,hiit",15
389,wah,0.9375,"thought ,sweepstersial ,lahmagic",15
390,ptp,0.8461538461538461,"batch ,has ,has ,has ,has ,has ,has ,has ,has ,tough ,confinement",15
391,strict,0.8977272727272727,"they ,machine ,instructors ,machines ,tips ,machine ,bend ,machines ,timing ,instructors",15
392,option,0.8461538461538461,"states ,isnt ,open ,theres ,ippt ,is ,is ,people ,is",15
393,bedok,0.9285714285714286,"booked ,booked",15
394,allowance,0.8433734939759037,"be ,get ,get ,get ,be ,give ,telling ,give ,telling ,maximise ,days ,get ,see ,used",15
396,experience,0.8676470588235294,"place ,had ,has ,sharing ,done ,have ,defines ,miserable ,one ,peepd",15
397,btw,0.8947368421052632,"good ,good ,booking",15
398,thread,0.8823529411764706,"necroed ,necroed ,orded ,this ,following ,this ,create ,reread ,dumb",15
399,ft,0.8846153846153846,"take ,take ,take ,take ,got ,said ,told ,payincrease ,payincrease ,payincrease",15
401,difference,0.8552631578947368,"entitlement ,paid ,paid ,is ,passippt ,read ,topic ,make ,months ,is ,is ,is",15
