,Avg_sent,Descriptors,Freq
start,1.0,"window ,sent",2
chance,1.0,"call ,gave",2
mr,1.0,"throw ,means",2
system,0.5,"says ,abuse",2
groin,1.0,"cover ,cover",2
female,1.0,"instructors ,recruits",2
easier,1.0,"much ,route",2
further,1.0,"notice ,advise",2
defaulters,0.5,"many ,see",2
bday,1.0,may,2
service,1.0,"pay ,medals",2
grades,1.0,"jcgrade ,jc ,cdec",2
ippt_ipts,1.0,"attended ,attended",2
marina,1.0,"citygallery ,citygallery",2
location,1.0,exact,2
actually,2.0,one,2
cycles,1.6666666666666667,"complete ,one ,clear",2
whole,1.0,"ippt ,workcycle",2
gloves,1.0,"wear ,wear",2
nonict,1.0,"ippt ,ipptsession",2
reservist,1.5,"serve ,complete",2
s8,1.0,said,2
navy,1.0,"call ,centerbro",2
jog,1.0,arbo,2
cycle,1.3333333333333333,"next ,complete ,finish",2
non,1.0,ictippt,2
exactly,1.0,12,2
u,1.0,saf100,2
close,1.0,really,2
help,1.0,"seek ,seek",2
world,1.0,"little ,piano",1
rtdefaulter,1.0,likely,1
safety,1.0,informed,1
little,1.0,world,1
men,1.0,"army ,deployed",1
returnuniform,1.0,f,1
army,1.0,men,1
unknowingly,1.0,defaulted,1
uniform,1.0,keep,1
nonictippt,1.0,attempt,1
piano,1.0,world,1
list,1.0,holding,1
nshotline,1.0,called,1
government,1.0,deems,1
startsonly,1.0,khatib,1
loh,1.0,say,1
live,1.0,chatservice,1
fi,1.0,say,1
safe,1.0,deems,1
ran,1.0,rounds,1
slip,1.0,generate,1
ll,1.0,jobless,1
jialat,1.0,"24 ,quite",1
income,1.0,scarified,1
chatservice,1.0,live,1
officers,1.0,conducting,1
helpful,1.0,replies,1
waiversms,1.0,receive,1
times,1.0,got,1
replies,2.0,"helpful ,good",1
vehicles,1.0,"big ,park",1
yeartill,1.0,new,1
incentives,1.0,get,1
caseetc,1.0,review,1
website,1.0,checked,1
bad,1.0,yearrt,1
open,1.0,"ippt ,say",1
yearrt,0.5,"next ,bad",1
working,1.0,days,1
ffi,1.0,arrange,1
dundeclare,1.0,time,1
activity,1.0,orns,1
results,1.0,improve,1
rollercoaster,1.0,really,1
others,0.0,skip,1
loans,1.0,"many ,got",1
date,1.0,"aug ,later ,enlistment",1
hotline,1.0,"ns ,call",1
enlistment,1.0,date,1
insurance,1.0,pay,1
enlistmentdate,1.0,get,1
contact,1.0,"details ,directly",1
hii,1.0,new,1
details,1.0,"contact ,request",1
operator,1.0,replied,1
examplei,1.0,enlisting,1
recruit,0.0,poor,1
wind,1.0,big,1
interview,1.0,saturday,1
request,0.0,ignore,1
technically,1.0,pretend,1
keyboard,1.0,using,1
excuse,1.0,get,1
logically,1.0,speaking,1
cock,1.0,talking,1
bed,1.0,"ironing ,spend",1
journey,1.0,ns,1
vocational,1.0,training,1
additional,1.0,day,1
oil,1.0,"extra ,get",1
extra,1.0,oil,1
forgot,1.0,apply,1
regimentation,1.0,"military ,respecting",1
mild,1.0,"reason ,quite",1
c,1.0,pes,1
interest,1.0,declare,1
commando,1.0,xiong,1
b2,1.0,everything,1
postpoly,1.0,cdo,1
cdo,1.0,"postpoly ,still",1
schtho,1.3333333333333333,"decently ,well ,secsch",1
secsch,1.0,schtho,1
decently,1.0,schtho,1
cdec,1.0,grades,1
jc,1.0,grades,1
military,1.0,regimentation,1
decision,1.0,"f ,big",1
news,1.0,still,1
source,1.0,"info ,want",1
ahi,0.0,see,1
nice,1.0,toilets,1
toilets,2.0,nice,1
special,1.0,whats,1
whats,2.0,special,1
warmachine,0.5,"green ,mean",1
bitch,0.0,bottom,1
bottom,0.0,bitch,1
profile,1.0,says,1
kengloser,1.0,"typical ,chaokeng",1
chaokeng,1.0,kengloser,1
typical,1.0,kengloser,1
shotts,1.0,long,1
ultimately,1.0,matters,1
term,1.0,"infantry ,pro",1
infantry,1.0,term,1
ncc,1.0,hq,1
spewnonsense,1.0,"tspew ,got",1
tspew,1.0,spewnonsense,1
bags,1.0,sling,1
packs,1.0,"assault ,issue",1
assault,1.0,packs,1
centerbro,1.0,"navy ,recruitmentcenter ,call",1
recruitmentcenter,1.0,centerbro,1
specialistmemo,1.0,"public ,matters",1
public,1.0,specialistmemo,1
jcgrade,1.0,grades,1
half,1.0,weeks,1
v,2.0,good,1
mid,1.0,https,1
jokingly,0.75,"also ,tekan",1
sia,1.0,remember,1
oot,1.0,posting,1
d,1.0,activated,1
applies,0.5,"manning ,unfortunately",1
unfortunately,1.0,applies,1
mob,1.0,manning,1
jcbatch,1.0,13,1
poly,1.0,batch,1
exact,1.0,location,1
distance,1.0,"still ,walking ,though",1
lockers,1.0,enough,1
anyway,0.0,abuse,1
