,index,Descriptors_singlish,Freq_singlish,Avg_sent_singlish,Avg_sent_no singlish
0,i,"wear ,wear ,hear ,done ,sure ,able ,got ,got ,received ,got ,old ,get ,get ,completed ,completed ,planned ,unable ,clear ,managed ,clear ,booked ,absent ,booked ,absent ,booked ,absent ,booked ,point ,checked ,ipt ,checked ,ipt ,need ,failed ,book ,ready ,booked ,reach ,sure ,heard ,sure ,heard ,took ,see ,bookippt ,going ,rushing ,afraid ,late ,afraid ,late ,think ,tried ,forgot ,think ,agree ,ask ,ask ,need ,thought ,checked ,need ,done ,thought ,checked ,need ,done ,thought ,checked ,need ,done ,thought ,checked ,need ,done ,thought ,taken ,counted ,thought ,taken ,counted ,attended ,tried ,knowthats ,get ,get ,see ,bother ,think ,defaulted ,called ,defaulted ,called ,defaulted ,called ,completed ,attempt ,attempt ,scared ,thinking ,attempt ,booked ,thinking ,attempt ,booked ,new ,seek ,booked ,seen ,checked ,dundeclare ,lie ,dundeclare ,lie ,booked ,passed ,able ,plan ,able ,plan ,confused ,see ,posted ,complete ,push ,complete ,push ,go ,think ,remember ,doubt ,hope ,remember ,doubt ,hope ,remember ,doubt ,hope ,see ,saw ,see ,saw ,see ,saw ,spent ,recruit ,spent ,recruit ,understand ,call ,guess ,rmb ,enlisting ,guess ,enlisting ,guess ,came ,think ,waited ,think ,waited ,teach ,enter ,get ,serving ,think ,rmb ,know",114,0.9980158730158729,1.0416666666666667
1,ippt,"book ,take ,rewards ,whole ,finish ,take ,attempt ,need ,failed ,pass ,failed ,pass ,book ,book ,sessions ,sessions ,one ,one ,10th ,failed ,take ,session ,book ,training ,pass ,year ,attempt ,defaulted ,nonict ,attempt ,clear ,nonict ,attempt ,clear ,completed ,session ,take ,open ,slots ,took ,route ,fail",50,0.9007936507936508,0.9285714285714286
2,not,"book ,meet ,allowed ,comprehensive ,get ,taken ,charged ,sure ,exactly ,need ,systemliao ,allowed ,conduct ,book ,forgetting ,able ,ðÿ™ðÿ» ,counted ,charged ,completed ,ipt ,allowed ,ah ,cancelled ,good ,much ,sure ,locked ,resumed ,sure ,put ,really",38,0.9875,1.03125
3,just,"wear ,mix ,counting ,rmb ,discharge ,go ,received ,want ,follow ,went ,point ,need ,follow ,went ,bookrt ,ask ,show ,continue ,go ,wan ,came ,clock ,go ,want ,18 ,lie ,need ,wanted ,relax ,go ,stay ,pretend",35,1.0,1.0
4,ipt,"attend ,booking ,complete ,clear ,absent ,session ,go ,first ,sessions ,sessions ,sessions ,1 ,attend ,book ,book ,slots ,completed ,completed ,completed ,completed ,program ,completed ,completed ,complete ,resumed",35,1.0533333333333332,1.08
5,still,"ipptwindow ,giving ,applies ,got ,go ,unable ,liability ,need ,need ,seeking ,good ,need ,consider ,anal ,thinking ,able ,distance ,serving ,news ,cdo",26,1.05,1.05
6,n't,"make ,got ,clear ,think ,seem ,know ,matter ,need ,go ,go ,answer ,relate ,book ,know ,clear ,bother ,stress ,complete ,think ,complete ,push ,complete ,push ,enter ,realize",24,1.12,1.12
7,window,"closes ,complete ,next ,n ,closes ,next ,n ,closes ,next ,n ,closes ,clear ,next ,need ,next ,pass ,next ,pass ,end ,closes ,considered ,start ,current ,current ,current ,current ,current ,current ,current ,current ,current",22,1.032258064516129,1.032258064516129
8,book,"ippt ,le ,unable ,sessions ,directly ,ready ,need ,ippt ,faster ,slot ,ipptsession ,unable ,session ,unable ,ipptsession ,ipt ,unable ,ipptsession ,ipt ,ipt ,need ,session ,ipt ,ippt ,n't ,ippt ,continue ,sessions ,session ,unable ,sessions ,able ,session",22,0.8787878787878788,0.8787878787878788
9,so,"need ,forget ,based ,breathing ,need ,strange ,advisable ,12 ,going ,check ,issue ,date ,rtdefaulter ,got ,see ,comes ,random",22,0.9411764705882353,1.0
10,sessions,"finish ,book ,attend ,booked ,first ,ippt ,payable ,remaining ,ipt ,remaining ,ipt ,attend ,fit ,finish ,ipt ,clock ,many ,rt ,check ,need ,total ,complete ,total ,complete ,total ,complete ,rtippt ,taken ,already ,rtippt ,taken ,already ,rtippt ,taken ,already ,rtippt ,taken ,already ,book ,complete ,iptippt ,book",21,1.103174603174603,1.119047619047619
11,only,"know ,bring ,take ,applies ,reach ,first ,one ,6 ,27 ,f ,training ,count ,9_10 ,try ,session ,feb ,ipt ,status ,waited",20,1.0701754385964914,1.0526315789473684
12,rt,"loh ,got ,complete ,cleared ,attending ,booked ,kenna ,go ,complete ,supposed ,normal",19,1.1818181818181819,1.1818181818181819
13,session,"first ,ipt ,8th ,previous ,book ,ippt ,book ,first ,iptippt ,attended ,khatib ,ippt ,book ,last ,ippt ,book ,last ,8th ,iptippt ,book",17,1.0,1.0
14,year,"orns ,10th ,aug ,required ,10th ,aug ,required ,ipptwindow ,next ,ipptwindow ,ipptwindow ,next ,ipptwindow ,officer ,old ,last ,mindefmarch ,financial ,next ,man ,ippt ,next ,next ,leap ,next ,leap ,next ,leap",17,0.988095238095238,1.0
15,now,"unable ,facing ,clear ,thought ,right ,start ,right ,thinking ,16 ,contact ,liao ,become ,issue",16,1.0769230769230769,1.0769230769230769
16,then,"instead ,start ,changed ,rest ,need ,sessions ,turn ,follow ,17 ,go ,dropped ,sure ,stay ,even ,shotts",15,1.0,1.0
17,also,"applies ,affected ,slot ,iptippt ,agree ,mention ,luck ,seem ,issue ,skip ,called ,use ,plan ,jokingly",15,0.9285714285714286,0.9285714285714286
